date,pool,threads,ws,rw_ratio,ltc,ltc_d,pattern,access,mode,ops,drops
Jun  9 06:04:51,ram_l,1,15360,100,115,23,uniform,touch,Mem50,22919446,116
Jun  9 06:05:01,ram_l,1,16384,100,115,24,uniform,touch,Mem50,22882520,123
Jun  9 06:05:10,ram_l,1,17408,100,115,23,uniform,touch,Mem50,22890889,153
Jun  9 06:05:20,ram_l,1,18432,100,114,23,uniform,touch,Mem50,22932166,158
Jun  9 06:05:30,ram_l,1,19456,100,115,23,uniform,touch,Mem50,22891117,160
Jun  9 06:05:41,ram_l,1,20480,100,115,22,uniform,touch,Mem50,22882297,164
Jun  9 06:05:51,ram_l,1,21504,100,114,22,uniform,touch,Mem50,22949065,166
Jun  9 06:06:02,ram_l,1,22528,100,115,22,uniform,touch,Mem50,22898908,172
Jun  9 06:06:13,ram_l,1,23552,100,114,21,uniform,touch,Mem50,22908781,175
Jun  9 06:06:24,ram_l,1,24576,100,114,21,uniform,touch,Mem50,22935780,180
Jun  9 06:06:35,ram_l,1,25600,100,115,21,uniform,touch,Mem50,22911649,182
Jun  9 06:06:47,ram_l,1,26624,100,115,21,uniform,touch,Mem50,22883498,188
Jun  9 06:06:59,ram_l,1,27648,100,115,21,uniform,touch,Mem50,22938172,192
Jun  9 06:07:12,ram_l,1,28672,100,120,31,uniform,touch,Mem50,22325085,204
Jun  9 06:07:25,ram_l,1,29696,100,116,24,uniform,touch,Mem50,22697677,206
Jun  9 06:07:39,ram_l,1,30720,100,122,33,uniform,touch,Mem50,22162727,217
Jun  9 06:07:53,ram_l,1,31744,100,117,25,uniform,touch,Mem50,22596619,224
Jun  9 06:08:07,ram_l,1,32768,100,130,49,uniform,touch,Mem50,21360082,230
Jun  9 06:08:22,ram_l,1,33792,100,133,52,uniform,touch,Mem50,21169797,233
Jun  9 06:08:39,ram_l,1,34816,100,147,75,uniform,touch,Mem50,19952537,235
Jun  9 06:08:56,ram_l,1,35840,100,153,83,uniform,touch,Mem50,19485959,239
Jun  9 06:09:14,ram_l,1,36864,100,166,101,uniform,touch,Mem50,18548469,247
Jun  9 06:09:33,ram_l,1,37888,100,168,104,uniform,touch,Mem50,18386972,251
Jun  9 06:09:53,ram_l,1,38912,100,180,119,uniform,touch,Mem50,17625053,255
Jun  9 06:10:14,ram_l,1,39936,100,184,124,uniform,touch,Mem50,17354106,256
Jun  9 06:29:32,ram_l,1,1,50,17,1,uniform,touch,Mem50,39398621,257
Jun  9 06:29:38,ram_l,1,10,50,22,7,uniform,touch,Mem50,37916309,259
Jun  9 06:29:44,ram_l,1,50,50,43,32,uniform,touch,Mem50,32674838,272
Jun  9 06:29:50,ram_l,1,100,50,50,39,uniform,touch,Mem50,31107397,274
Jun  9 06:29:56,ram_l,1,200,50,55,42,uniform,touch,Mem50,30244976,277
Jun  9 06:30:02,ram_l,1,500,50,57,42,uniform,touch,Mem50,29893397,279
Jun  9 06:30:08,ram_l,1,800,50,59,43,uniform,touch,Mem50,29594832,281
Jun  9 06:30:14,ram_l,1,1000,50,60,45,uniform,touch,Mem50,29299809,284
Jun  9 06:30:20,ram_l,1,1024,50,60,45,uniform,touch,Mem50,29288920,285
Jun  9 06:30:26,ram_l,1,2048,50,64,49,uniform,touch,Mem50,28481490,289
Jun  9 06:30:33,ram_l,1,3072,50,68,53,uniform,touch,Mem50,27695819,292
Jun  9 06:30:40,ram_l,1,4096,50,70,53,uniform,touch,Mem50,27439496,296
Jun  9 06:30:47,ram_l,1,5120,50,72,54,uniform,touch,Mem50,27048506,322
Jun  9 06:30:55,ram_l,1,6144,50,73,54,uniform,touch,Mem50,26954831,324
Jun  9 06:31:03,ram_l,1,7168,50,73,53,uniform,touch,Mem50,26963561,327
Jun  9 06:31:11,ram_l,1,8192,50,75,54,uniform,touch,Mem50,26729328,332
Jun  9 06:31:19,ram_l,1,9216,50,73,52,uniform,touch,Mem50,27110279,335
Jun  9 06:31:28,ram_l,1,10240,50,74,53,uniform,touch,Mem50,26796356,339
Jun  9 06:31:37,ram_l,1,11264,50,72,50,uniform,touch,Mem50,27289114,342
Jun  9 06:31:46,ram_l,1,12288,50,81,59,uniform,touch,Mem50,25774932,344
Jun  9 06:31:56,ram_l,1,13312,50,88,66,uniform,touch,Mem50,24682220,349
Jun  9 06:32:07,ram_l,1,14336,50,95,73,uniform,touch,Mem50,23735443,353
Jun  9 06:32:19,ram_l,1,15360,50,97,76,uniform,touch,Mem50,23427698,359
Jun  9 06:32:31,ram_l,1,16384,50,98,76,uniform,touch,Mem50,23391881,365
Jun  9 06:32:43,ram_l,1,17408,50,94,72,uniform,touch,Mem50,23858088,369
Jun  9 06:32:55,ram_l,1,18432,50,94,71,uniform,touch,Mem50,23887821,375
Jun  9 06:33:07,ram_l,1,19456,50,93,70,uniform,touch,Mem50,24101762,378
Jun  9 06:33:20,ram_l,1,20480,50,92,69,uniform,touch,Mem50,24214776,382
Jun  9 06:33:33,ram_l,1,21504,50,91,68,uniform,touch,Mem50,24259712,385
Jun  9 06:33:46,ram_l,1,22528,50,92,69,uniform,touch,Mem50,24196974,389
Jun  9 06:34:00,ram_l,1,23552,50,90,66,uniform,touch,Mem50,24440037,392
Jun  9 06:34:13,ram_l,1,24576,50,90,66,uniform,touch,Mem50,24521698,396
Jun  9 06:34:27,ram_l,1,25600,50,89,65,uniform,touch,Mem50,24662027,398
Jun  9 06:34:42,ram_l,1,26624,50,91,67,uniform,touch,Mem50,24290712,402
Jun  9 06:34:56,ram_l,1,27648,50,90,66,uniform,touch,Mem50,24510308,406
Jun  9 06:35:12,ram_l,1,28672,50,92,68,uniform,touch,Mem50,24225122,411
Jun  9 06:35:27,ram_l,1,29696,50,94,70,uniform,touch,Mem50,23958991,414
Jun  9 06:35:43,ram_l,1,30720,50,94,70,uniform,touch,Mem50,23965225,416
Jun  9 06:36:00,ram_l,1,31744,50,92,68,uniform,touch,Mem50,24229672,421
Jun  9 06:36:16,ram_l,1,32768,50,93,69,uniform,touch,Mem50,24129987,425
Jun  9 06:36:33,ram_l,1,33792,50,91,67,uniform,touch,Mem50,24342488,429
Jun  9 06:36:50,ram_l,1,34816,50,91,66,uniform,touch,Mem50,24372257,434
Jun  9 06:37:07,ram_l,1,35840,50,91,66,uniform,touch,Mem50,24388696,439
Jun  9 06:37:25,ram_l,1,36864,50,95,70,uniform,touch,Mem50,23870337,442
Jun  9 06:37:44,ram_l,1,37888,50,99,75,uniform,touch,Mem50,23278805,445
Jun  9 06:38:04,ram_l,1,38912,50,104,81,uniform,touch,Mem50,22716343,458
Jun  9 06:38:25,ram_l,1,39936,50,107,86,uniform,touch,Mem50,22366386,462
Jun  9 06:38:32,ram_l,1,1,0,15,0,uniform,touch,Mem50,41818080,463
Jun  9 06:38:37,ram_l,1,10,0,15,0,uniform,touch,Mem50,41891334,463
Jun  9 06:38:43,ram_l,1,50,0,15,0,uniform,touch,Mem50,41545580,464
Jun  9 06:38:49,ram_l,1,100,0,15,0,uniform,touch,Mem50,41417422,465
Jun  9 06:38:55,ram_l,1,200,0,15,0,uniform,touch,Mem50,41326742,465
Jun  9 06:39:01,ram_l,1,500,0,15,0,uniform,touch,Mem50,41324507,465
Jun  9 06:39:07,ram_l,1,800,0,15,0,uniform,touch,Mem50,41040533,467
Jun  9 06:39:13,ram_l,1,1000,0,15,0,uniform,touch,Mem50,40861221,469
Jun  9 06:39:19,ram_l,1,1024,0,15,0,uniform,touch,Mem50,40815190,470
Jun  9 06:39:25,ram_l,1,2048,0,15,0,uniform,touch,Mem50,39886676,470
Jun  9 06:39:32,ram_l,1,3072,0,15,0,uniform,touch,Mem50,39659189,472
Jun  9 06:39:39,ram_l,1,4096,0,17,2,uniform,touch,Mem50,39472522,475
Jun  9 06:39:46,ram_l,1,5120,0,18,3,uniform,touch,Mem50,39339594,476
Jun  9 06:39:53,ram_l,1,6144,0,19,4,uniform,touch,Mem50,36828603,476
Jun  9 06:40:02,ram_l,1,7168,0,21,5,uniform,touch,Mem50,33907092,478
Jun  9 06:40:10,ram_l,1,8192,0,21,5,uniform,touch,Mem50,34297532,478
Jun  9 06:40:19,ram_l,1,9216,0,22,5,uniform,touch,Mem50,34760375,483
Jun  9 06:40:28,ram_l,1,10240,0,22,4,uniform,touch,Mem50,35055918,484
Jun  9 06:40:37,ram_l,1,11264,0,23,4,uniform,touch,Mem50,35186661,487
Jun  9 06:40:47,ram_l,1,12288,0,23,4,uniform,touch,Mem50,35396262,489
Jun  9 06:40:56,ram_l,1,13312,0,23,4,uniform,touch,Mem50,35580377,490
Jun  9 06:41:07,ram_l,1,14336,0,23,4,uniform,touch,Mem50,34677611,492
Jun  9 06:41:17,ram_l,1,15360,0,24,4,uniform,touch,Mem50,34487705,502
Jun  9 06:41:28,ram_l,1,16384,0,24,4,uniform,touch,Mem50,34732816,502
Jun  9 06:41:40,ram_l,1,17408,0,24,4,uniform,touch,Mem50,34837769,504
Jun  9 06:41:51,ram_l,1,18432,0,24,4,uniform,touch,Mem50,34752514,505
Jun  9 06:42:03,ram_l,1,19456,0,24,4,uniform,touch,Mem50,34792082,505
Jun  9 06:42:15,ram_l,1,20480,0,25,4,uniform,touch,Mem50,34245966,511
Jun  9 06:42:28,ram_l,1,21504,0,25,5,uniform,touch,Mem50,33381304,512
Jun  9 06:42:42,ram_l,1,22528,0,26,5,uniform,touch,Mem50,32611348,512
Jun  9 06:42:57,ram_l,1,23552,0,26,5,uniform,touch,Mem50,32771353,514
Jun  9 06:43:12,ram_l,1,24576,0,26,5,uniform,touch,Mem50,32858053,526
Jun  9 06:43:27,ram_l,1,25600,0,26,5,uniform,touch,Mem50,32894435,527
Jun  9 06:43:42,ram_l,1,26624,0,26,6,uniform,touch,Mem50,32655063,530
Jun  9 06:43:59,ram_l,1,27648,0,26,6,uniform,touch,Mem50,31805558,530
Jun  9 06:44:16,ram_l,1,28672,0,26,6,uniform,touch,Mem50,32053962,532
Jun  9 06:44:33,ram_l,1,29696,0,26,6,uniform,touch,Mem50,32134506,533
Jun  9 06:44:50,ram_l,1,30720,0,26,6,uniform,touch,Mem50,32378084,535
Jun  9 06:45:08,ram_l,1,31744,0,26,6,uniform,touch,Mem50,32398034,536
Jun  9 06:45:26,ram_l,1,32768,0,26,6,uniform,touch,Mem50,32628310,536
Jun  9 06:45:44,ram_l,1,33792,0,26,6,uniform,touch,Mem50,32380171,537
Jun  9 06:46:03,ram_l,1,34816,0,26,6,uniform,touch,Mem50,32300091,538
Jun  9 06:46:22,ram_l,1,35840,0,26,6,uniform,touch,Mem50,32371272,540
Jun  9 06:46:41,ram_l,1,36864,0,26,6,uniform,touch,Mem50,32577499,544
Jun  9 06:47:01,ram_l,1,37888,0,26,6,uniform,touch,Mem50,32572553,546
Jun  9 06:47:21,ram_l,1,38912,0,27,6,uniform,touch,Mem50,32141725,548
Jun  9 06:47:42,ram_l,1,39936,0,27,7,uniform,touch,Mem50,31508117,550
Jun  9 08:00:38,ram_l,1,1,50,27,9,uniform,mfence,Mem50,36314279,553
Jun  9 08:00:43,ram_l,1,10,50,37,9,uniform,mfence,Mem50,33897971,553
Jun  9 08:00:49,ram_l,1,50,50,83,36,uniform,mfence,Mem50,25958302,554
Jun  9 08:00:55,ram_l,1,100,50,100,30,uniform,mfence,Mem50,23876845,557
Jun  9 08:01:01,ram_l,1,200,50,108,26,uniform,mfence,Mem50,22879632,561
Jun  9 08:01:07,ram_l,1,500,50,112,23,uniform,mfence,Mem50,22487606,564
Jun  9 08:01:13,ram_l,1,800,50,118,25,uniform,mfence,Mem50,21892639,568
Jun  9 08:01:19,ram_l,1,1000,50,126,35,uniform,mfence,Mem50,21143892,595
Jun  9 08:01:25,ram_l,1,1024,50,126,36,uniform,mfence,Mem50,21197914,598
Jun  9 08:01:32,ram_l,1,2048,50,127,38,uniform,mfence,Mem50,21069771,603
Jun  9 08:01:38,ram_l,1,3072,50,127,34,uniform,mfence,Mem50,21081124,614
Jun  9 08:01:45,ram_l,1,4096,50,125,31,uniform,mfence,Mem50,21253435,617
Jun  9 08:01:52,ram_l,1,5120,50,125,29,uniform,mfence,Mem50,21228085,621
Jun  9 08:02:00,ram_l,1,6144,50,125,28,uniform,mfence,Mem50,21272437,627
Jun  9 08:02:07,ram_l,1,7168,50,135,41,uniform,mfence,Mem50,20395062,635
Jun  9 08:02:15,ram_l,1,8192,50,133,38,uniform,mfence,Mem50,20509196,642
Jun  9 08:02:24,ram_l,1,9216,50,134,37,uniform,mfence,Mem50,20496192,654
Jun  9 08:02:32,ram_l,1,10240,50,135,39,uniform,mfence,Mem50,20415374,660
Jun  9 08:02:41,ram_l,1,11264,50,141,48,uniform,mfence,Mem50,19907276,661
Jun  9 08:02:51,ram_l,1,12288,50,148,59,uniform,mfence,Mem50,19394029,670
Jun  9 08:03:01,ram_l,1,13312,50,149,60,uniform,mfence,Mem50,19284337,674
Jun  9 08:03:11,ram_l,1,14336,50,145,53,uniform,mfence,Mem50,19622492,678
Jun  9 08:03:21,ram_l,1,15360,50,146,55,uniform,mfence,Mem50,19475892,683
Jun  9 08:03:31,ram_l,1,16384,50,143,50,uniform,mfence,Mem50,19721570,689
Jun  9 08:03:42,ram_l,1,17408,50,145,52,uniform,mfence,Mem50,19629255,691
Jun  9 08:03:53,ram_l,1,18432,50,146,55,uniform,mfence,Mem50,19500887,697
Jun  9 08:04:05,ram_l,1,19456,50,148,57,uniform,mfence,Mem50,19343418,700
Jun  9 08:04:17,ram_l,1,20480,50,159,72,uniform,mfence,Mem50,18564036,704
Jun  9 08:04:30,ram_l,1,21504,50,168,88,uniform,mfence,Mem50,17978955,708
Jun  9 08:04:43,ram_l,1,22528,50,165,83,uniform,mfence,Mem50,18170835,714
Jun  9 08:04:57,ram_l,1,23552,50,170,90,uniform,mfence,Mem50,17846468,718
Jun  9 08:05:12,ram_l,1,24576,50,180,101,uniform,mfence,Mem50,17274919,722
Jun  9 08:05:26,ram_l,1,25600,50,177,100,uniform,mfence,Mem50,17392222,728
Jun  9 08:05:41,ram_l,1,26624,50,176,96,uniform,mfence,Mem50,17477425,730
Jun  9 08:05:57,ram_l,1,27648,50,187,112,uniform,mfence,Mem50,16832280,735
Jun  9 08:06:14,ram_l,1,28672,50,185,108,uniform,mfence,Mem50,16940453,741
Jun  9 08:06:30,ram_l,1,29696,50,183,108,uniform,mfence,Mem50,17025854,746
Jun  9 08:06:47,ram_l,1,30720,50,188,113,uniform,mfence,Mem50,16770080,748
Jun  9 08:07:06,ram_l,1,31744,50,196,123,uniform,mfence,Mem50,16333234,753
Jun  9 08:07:24,ram_l,1,32768,50,193,120,uniform,mfence,Mem50,16509464,759
Jun  9 08:07:44,ram_l,1,33792,50,201,127,uniform,mfence,Mem50,16058027,771
Jun  9 08:08:03,ram_l,1,34816,50,194,121,uniform,mfence,Mem50,16435908,775
Jun  9 08:08:23,ram_l,1,35840,50,196,123,uniform,mfence,Mem50,16339033,779
Jun  9 08:08:43,ram_l,1,36864,50,193,117,uniform,mfence,Mem50,16510854,781
Jun  9 08:09:04,ram_l,1,37888,50,198,123,uniform,mfence,Mem50,16229319,789
Jun  9 08:09:25,ram_l,1,38912,50,192,118,uniform,mfence,Mem50,16560539,795
Jun  9 08:09:47,ram_l,1,39936,50,201,128,uniform,mfence,Mem50,16042987,800
Jun  9 08:09:53,ram_l,1,1,0,36,3,uniform,mfence,Mem50,35709881,801
Jun  9 08:09:59,ram_l,1,10,0,48,3,uniform,mfence,Mem50,33125569,804
Jun  9 08:10:04,ram_l,1,50,0,93,39,uniform,mfence,Mem50,25467968,806
Jun  9 08:10:10,ram_l,1,100,0,111,25,uniform,mfence,Mem50,23311360,808
Jun  9 08:10:16,ram_l,1,200,0,122,18,uniform,mfence,Mem50,22194330,812
Jun  9 08:10:22,ram_l,1,500,0,128,16,uniform,mfence,Mem50,21635979,815
Jun  9 08:10:28,ram_l,1,800,0,130,18,uniform,mfence,Mem50,21406407,818
Jun  9 08:10:34,ram_l,1,1000,0,136,28,uniform,mfence,Mem50,20838835,821
Jun  9 08:10:40,ram_l,1,1024,0,138,32,uniform,mfence,Mem50,20716518,826
Jun  9 08:10:47,ram_l,1,2048,0,170,81,uniform,mfence,Mem50,18325516,834
Jun  9 08:10:54,ram_l,1,3072,0,198,119,uniform,mfence,Mem50,16568187,840
Jun  9 08:11:01,ram_l,1,4096,0,183,98,uniform,mfence,Mem50,17458152,844
Jun  9 08:11:09,ram_l,1,5120,0,176,87,uniform,mfence,Mem50,17872015,847
Jun  9 08:11:17,ram_l,1,6144,0,178,87,uniform,mfence,Mem50,17778715,850
Jun  9 08:11:25,ram_l,1,7168,0,177,85,uniform,mfence,Mem50,17795034,858
Jun  9 08:11:33,ram_l,1,8192,0,174,79,uniform,mfence,Mem50,18028289,861
Jun  9 08:11:42,ram_l,1,9216,0,170,73,uniform,mfence,Mem50,18286196,864
Jun  9 08:11:51,ram_l,1,10240,0,170,70,uniform,mfence,Mem50,18329510,870
Jun  9 08:12:01,ram_l,1,11264,0,179,85,uniform,mfence,Mem50,17712402,874
Jun  9 08:12:11,ram_l,1,12288,0,179,85,uniform,mfence,Mem50,17691849,877
Jun  9 08:12:21,ram_l,1,13312,0,176,80,uniform,mfence,Mem50,17882425,884
Jun  9 08:12:31,ram_l,1,14336,0,176,80,uniform,mfence,Mem50,17851393,889
Jun  9 08:12:42,ram_l,1,15360,0,180,86,uniform,mfence,Mem50,17603642,896
Jun  9 08:12:53,ram_l,1,16384,0,190,99,uniform,mfence,Mem50,17014344,902
Jun  9 08:13:05,ram_l,1,17408,0,187,95,uniform,mfence,Mem50,17192040,907
Jun  9 08:13:17,ram_l,1,18432,0,186,91,uniform,mfence,Mem50,17308725,913
Jun  9 08:13:30,ram_l,1,19456,0,186,91,uniform,mfence,Mem50,17287553,917
Jun  9 08:13:42,ram_l,1,20480,0,189,94,uniform,mfence,Mem50,17086075,925
Jun  9 08:13:56,ram_l,1,21504,0,188,93,uniform,mfence,Mem50,17135466,933
Jun  9 08:14:09,ram_l,1,22528,0,190,95,uniform,mfence,Mem50,17080968,938
Jun  9 08:14:23,ram_l,1,23552,0,186,92,uniform,mfence,Mem50,17294435,943
Jun  9 08:14:37,ram_l,1,24576,0,187,92,uniform,mfence,Mem50,17207760,949
Jun  9 08:14:52,ram_l,1,25600,0,187,91,uniform,mfence,Mem50,17224858,954
Jun  9 08:15:07,ram_l,1,26624,0,192,98,uniform,mfence,Mem50,16939245,957
Jun  9 08:15:23,ram_l,1,27648,0,202,111,uniform,mfence,Mem50,16367853,964
Jun  9 08:15:39,ram_l,1,28672,0,200,108,uniform,mfence,Mem50,16509411,969
Jun  9 08:15:56,ram_l,1,29696,0,207,116,uniform,mfence,Mem50,16117047,1005
Jun  9 08:16:14,ram_l,1,30720,0,214,126,uniform,mfence,Mem50,15744301,1010
Jun  9 08:16:33,ram_l,1,31744,0,214,126,uniform,mfence,Mem50,15749014,1014
Jun  9 08:16:52,ram_l,1,32768,0,219,130,uniform,mfence,Mem50,15523082,1049
Jun  9 08:17:12,ram_l,1,33792,0,218,130,uniform,mfence,Mem50,15581991,1055
Jun  9 08:17:31,ram_l,1,34816,0,214,126,uniform,mfence,Mem50,15746784,1061
Jun  9 08:17:52,ram_l,1,35840,0,222,135,uniform,mfence,Mem50,15359134,1065
Jun  9 08:18:13,ram_l,1,36864,0,217,130,uniform,mfence,Mem50,15593684,1073
Jun  9 08:18:34,ram_l,1,37888,0,221,133,uniform,mfence,Mem50,15415395,1079
Jun  9 08:18:56,ram_l,1,38912,0,213,126,uniform,mfence,Mem50,15776111,1085
Jun  9 08:19:18,ram_l,1,39936,0,217,129,uniform,mfence,Mem50,15572018,1090
Jun  9 08:34:22,ram_l,1,1,100,18,2,uniform,touch,Mem100,83208615,1091
Jun  9 08:34:33,ram_l,1,10,100,28,3,uniform,touch,Mem100,76825007,1091
Jun  9 08:34:43,ram_l,1,50,100,68,33,uniform,touch,Mem100,58734455,1094
Jun  9 08:34:54,ram_l,1,100,100,85,23,uniform,touch,Mem100,53623412,1097
Jun  9 08:35:05,ram_l,1,200,100,95,17,uniform,touch,Mem100,50828643,1101
Jun  9 08:35:16,ram_l,1,500,100,99,16,uniform,touch,Mem100,49803405,1106
Jun  9 08:35:27,ram_l,1,800,100,101,16,uniform,touch,Mem100,49237859,1114
Jun  9 08:35:38,ram_l,1,1000,100,100,16,uniform,touch,Mem100,49445082,1121
Jun  9 08:35:49,ram_l,1,1024,100,101,16,uniform,touch,Mem100,49335947,1126
Jun  9 08:36:01,ram_l,1,2048,100,101,16,uniform,touch,Mem100,49161912,1132
Jun  9 08:36:13,ram_l,1,3072,100,101,16,uniform,touch,Mem100,49234034,1138
Jun  9 08:36:25,ram_l,1,4096,100,103,16,uniform,touch,Mem100,48689119,1144
Jun  9 08:36:38,ram_l,1,5120,100,104,16,uniform,touch,Mem100,48462827,1151
Jun  9 08:36:50,ram_l,1,6144,100,106,16,uniform,touch,Mem100,48127653,1159
Jun  9 08:37:03,ram_l,1,7168,100,106,16,uniform,touch,Mem100,48048543,1166
Jun  9 08:37:16,ram_l,1,8192,100,107,16,uniform,touch,Mem100,47893818,1174
Jun  9 08:37:29,ram_l,1,9216,100,107,16,uniform,touch,Mem100,47768916,1181
Jun  9 08:37:43,ram_l,1,10240,100,108,16,uniform,touch,Mem100,47705349,1190
Jun  9 08:37:56,ram_l,1,11264,100,108,16,uniform,touch,Mem100,47529485,1196
Jun  9 08:38:10,ram_l,1,12288,100,109,16,uniform,touch,Mem100,47339804,1201
Jun  9 08:38:24,ram_l,1,13312,100,110,17,uniform,touch,Mem100,47341350,1214
Jun  9 08:38:38,ram_l,1,14336,100,110,17,uniform,touch,Mem100,47303428,1218
Jun  9 08:38:53,ram_l,1,15360,100,110,17,uniform,touch,Mem100,47157769,1231
Jun  9 08:39:07,ram_l,1,16384,100,110,17,uniform,touch,Mem100,47252560,1239
Jun  9 08:39:22,ram_l,1,17408,100,110,17,uniform,touch,Mem100,47113209,1245
Jun  9 08:39:38,ram_l,1,18432,100,110,17,uniform,touch,Mem100,47105417,1258
Jun  9 08:39:53,ram_l,1,19456,100,111,17,uniform,touch,Mem100,47074628,1266
Jun  9 08:40:08,ram_l,1,20480,100,110,17,uniform,touch,Mem100,47082433,1274
Jun  9 08:40:24,ram_l,1,21504,100,111,17,uniform,touch,Mem100,46974456,1279
Jun  9 08:40:40,ram_l,1,22528,100,111,17,uniform,touch,Mem100,46954287,1288
Jun  9 08:40:56,ram_l,1,23552,100,111,17,uniform,touch,Mem100,46910666,1292
Jun  9 08:41:13,ram_l,1,24576,100,111,17,uniform,touch,Mem100,46947343,1300
Jun  9 08:41:30,ram_l,1,25600,100,113,17,uniform,touch,Mem100,46636907,1309
Jun  9 08:41:46,ram_l,1,26624,100,111,17,uniform,touch,Mem100,46945004,1315
Jun  9 08:42:04,ram_l,1,27648,100,111,17,uniform,touch,Mem100,46877605,1321
Jun  9 08:42:22,ram_l,1,28672,100,117,27,uniform,touch,Mem100,45619826,1329
Jun  9 08:42:40,ram_l,1,29696,100,112,18,uniform,touch,Mem100,46779574,1336
Jun  9 08:42:59,ram_l,1,30720,100,117,27,uniform,touch,Mem100,45660105,1343
Jun  9 08:43:17,ram_l,1,31744,100,112,18,uniform,touch,Mem100,46710814,1352
Jun  9 08:43:36,ram_l,1,32768,100,118,28,uniform,touch,Mem100,45501961,1362
Jun  9 08:43:55,ram_l,1,33792,100,124,39,uniform,touch,Mem100,44197298,1374
Jun  9 08:44:16,ram_l,1,34816,100,140,65,uniform,touch,Mem100,41352217,1385
Jun  9 08:44:37,ram_l,1,35840,100,147,74,uniform,touch,Mem100,40151948,1401
Jun  9 08:45:00,ram_l,1,36864,100,160,94,uniform,touch,Mem100,38109230,1409
Jun  9 08:45:23,ram_l,1,37888,100,165,101,uniform,touch,Mem100,37504444,1417
Jun  9 08:45:48,ram_l,1,38912,100,177,117,uniform,touch,Mem100,35831983,1429
Jun  9 08:46:14,ram_l,1,39936,100,181,123,uniform,touch,Mem100,35304240,1438
Jun  9 08:46:25,ram_l,1,1,50,16,1,uniform,touch,Mem100,78818449,1439
Jun  9 08:46:35,ram_l,1,10,50,21,6,uniform,touch,Mem100,75982018,1442
Jun  9 08:46:46,ram_l,1,50,50,42,32,uniform,touch,Mem100,65591176,1447
Jun  9 08:46:57,ram_l,1,100,50,51,39,uniform,touch,Mem100,62004054,1452
Jun  9 08:47:08,ram_l,1,200,50,55,41,uniform,touch,Mem100,60576077,1456
Jun  9 08:47:19,ram_l,1,500,50,57,43,uniform,touch,Mem100,59607156,1461
Jun  9 08:47:30,ram_l,1,800,50,58,43,uniform,touch,Mem100,59440121,1463
Jun  9 08:47:41,ram_l,1,1000,50,59,43,uniform,touch,Mem100,59149978,1467
Jun  9 08:47:52,ram_l,1,1024,50,58,43,uniform,touch,Mem100,59386832,1470
Jun  9 08:48:03,ram_l,1,2048,50,58,43,uniform,touch,Mem100,59237059,1477
Jun  9 08:48:15,ram_l,1,3072,50,59,43,uniform,touch,Mem100,58903517,1488
Jun  9 08:48:26,ram_l,1,4096,50,60,43,uniform,touch,Mem100,58475345,1494
Jun  9 08:48:38,ram_l,1,5120,50,63,45,uniform,touch,Mem100,57591710,1504
Jun  9 08:48:50,ram_l,1,6144,50,63,44,uniform,touch,Mem100,57562690,1509
Jun  9 08:49:03,ram_l,1,7168,50,64,44,uniform,touch,Mem100,57147437,1519
Jun  9 08:49:16,ram_l,1,8192,50,66,45,uniform,touch,Mem100,56621818,1527
Jun  9 08:49:29,ram_l,1,9216,50,65,44,uniform,touch,Mem100,56872625,1536
