date,pool,threads,sz,ws,rw_ratio,ltc,ltc_d,ops,pattern,offset,mode
Apr 28 09:18:15,ram_l,2,2048,1024,0,33,0.00,48178,uniform,random,Mem100
Apr 28 09:18:26,ram_l,2,2048,1024,33,63,0.05,28212,uniform,random,Mem100
Apr 28 09:18:37,ram_l,2,2048,1024,50,77,0.20,23434,uniform,random,Mem100
Apr 28 09:18:48,ram_l,2,2048,1024,66,90,0.10,20487,uniform,random,Mem100
Apr 28 09:18:59,ram_l,2,2048,1024,100,41,0.15,41547,uniform,random,Mem100
Apr 28 09:19:10,ram_l,4,2048,1024,0,36,0.04,91151,uniform,random,Mem100
Apr 28 09:19:21,ram_l,4,2048,1024,33,66,0.21,53594,uniform,random,Mem100
Apr 28 09:19:32,ram_l,4,2048,1024,50,82,0.27,44583,uniform,random,Mem100
Apr 28 09:19:43,ram_l,4,2048,1024,66,93,0.33,39721,uniform,random,Mem100
Apr 28 09:19:54,ram_l,4,2048,1024,100,42,0.19,79440,uniform,random,Mem100
Apr 28 09:20:05,ram_l,8,2048,1024,0,45,0.24,148562,uniform,random,Mem100
Apr 28 09:20:16,ram_l,8,2048,1024,33,72,0.51,99231,uniform,random,Mem100
Apr 28 09:20:27,ram_l,8,2048,1024,50,89,0.75,82364,uniform,random,Mem100
Apr 28 09:20:38,ram_l,8,2048,1024,66,100,1.04,73667,uniform,random,Mem100
Apr 28 09:20:49,ram_l,8,2048,1024,100,42,0.37,158123,uniform,random,Mem100
Apr 28 09:21:00,ram_l,16,2048,1024,0,78,0.20,181735,uniform,random,Mem100
Apr 28 09:21:11,ram_l,16,2048,1024,33,88,0.93,163122,uniform,random,Mem100
Apr 28 09:21:22,ram_l,16,2048,1024,50,100,1.40,144125,uniform,random,Mem100
Apr 28 09:21:33,ram_l,16,2048,1024,66,111,1.05,131904,uniform,random,Mem100
Apr 28 09:21:44,ram_l,16,2048,1024,100,52,0.58,255528,uniform,random,Mem100
Apr 28 09:21:55,ram_l,32,2048,1024,0,152,0.86,193702,uniform,random,Mem100
Apr 28 09:22:06,ram_l,32,2048,1024,33,140,0.85,208808,uniform,random,Mem100
Apr 28 09:22:17,ram_l,32,2048,1024,50,134,1.06,217298,uniform,random,Mem100
Apr 28 09:22:28,ram_l,32,2048,1024,66,136,1.09,214348,uniform,random,Mem100
Apr 28 09:22:39,ram_l,32,2048,1024,100,64,0.65,418286,uniform,random,Mem100
Apr 28 09:22:52,ram_l,1,16384,8192,0,50,0.00,17476,uniform,random,Mem100
Apr 28 09:23:05,ram_l,1,16384,8192,33,66,0.00,13627,uniform,random,Mem100
Apr 28 09:23:18,ram_l,1,16384,8192,50,81,0.00,11277,uniform,random,Mem100
Apr 28 09:23:32,ram_l,1,16384,8192,66,94,0.00,9885,uniform,random,Mem100
Apr 28 09:23:43,ram_l,1,16384,8192,100,43,0.00,19792,uniform,random,Mem100
Apr 28 09:23:55,ram_l,2,16384,8192,0,38,0.00,43982,uniform,random,Mem100
Apr 28 09:24:07,ram_l,2,16384,8192,33,68,0.10,26448,uniform,random,Mem100
Apr 28 09:24:20,ram_l,2,16384,8192,50,83,0.15,22142,uniform,random,Mem100
Apr 28 09:24:32,ram_l,2,16384,8192,66,97,0.20,19151,uniform,random,Mem100
Apr 28 09:24:44,ram_l,2,16384,8192,100,44,0.05,38258,uniform,random,Mem100
Apr 28 09:24:56,ram_l,4,16384,8192,0,40,0.00,83822,uniform,random,Mem100
Apr 28 09:25:08,ram_l,4,16384,8192,33,70,0.21,51360,uniform,random,Mem100
Apr 28 09:25:20,ram_l,4,16384,8192,50,85,0.81,43264,uniform,random,Mem100
Apr 28 09:25:32,ram_l,4,16384,8192,66,97,0.35,38074,uniform,random,Mem100
Apr 28 09:25:44,ram_l,4,16384,8192,100,45,0.31,74848,uniform,random,Mem100
Apr 28 09:25:56,ram_l,8,16384,8192,0,48,0.28,142233,uniform,random,Mem100
Apr 28 09:26:08,ram_l,8,16384,8192,33,74,0.50,97979,uniform,random,Mem100
Apr 28 09:26:20,ram_l,8,16384,8192,50,93,0.81,79020,uniform,random,Mem100
Apr 28 09:26:32,ram_l,8,16384,8192,66,100,1.07,74126,uniform,random,Mem100
Apr 28 09:26:44,ram_l,8,16384,8192,100,52,0.34,133139,uniform,random,Mem100
Apr 28 09:26:56,ram_l,16,16384,8192,0,81,0.28,174814,uniform,random,Mem100
Apr 28 09:27:08,ram_l,16,16384,8192,33,93,0.52,155179,uniform,random,Mem100
Apr 28 09:27:20,ram_l,16,16384,8192,50,106,0.83,137403,uniform,random,Mem100
Apr 28 09:27:33,ram_l,16,16384,8192,66,117,1.08,125841,uniform,random,Mem100
Apr 28 09:27:44,ram_l,16,16384,8192,100,57,0.32,237000,uniform,random,Mem100
Apr 28 09:27:57,ram_l,32,16384,8192,0,158,0.73,186926,uniform,random,Mem100
Apr 28 09:28:10,ram_l,32,16384,8192,33,145,0.75,201988,uniform,random,Mem100
Apr 28 09:28:23,ram_l,32,16384,8192,50,140,0.93,209356,uniform,random,Mem100
Apr 28 09:28:36,ram_l,32,16384,8192,66,142,1.30,205380,uniform,random,Mem100
Apr 28 09:28:47,ram_l,32,16384,8192,100,68,0.77,394008,uniform,random,Mem100
Apr 28 09:29:02,ram_l,1,32768,16384,0,38,0.00,22224,uniform,random,Mem100
Apr 28 09:29:17,ram_l,1,32768,16384,33,68,0.00,13314,uniform,random,Mem100
Apr 28 09:29:33,ram_l,1,32768,16384,50,83,0.00,10939,uniform,random,Mem100
Apr 28 09:29:49,ram_l,1,32768,16384,66,94,0.00,9898,uniform,random,Mem100
Apr 28 09:30:00,ram_l,1,32768,16384,100,45,0.00,19095,uniform,random,Mem100
Apr 28 09:30:14,ram_l,2,32768,16384,0,40,0.00,42229,uniform,random,Mem100
Apr 28 09:30:28,ram_l,2,32768,16384,33,70,0.10,25623,uniform,random,Mem100
Apr 28 09:30:42,ram_l,2,32768,16384,50,88,0.15,20895,uniform,random,Mem100
Apr 28 09:30:57,ram_l,2,32768,16384,66,96,0.15,19208,uniform,random,Mem100
Apr 28 09:31:08,ram_l,2,32768,16384,100,47,0.00,36486,uniform,random,Mem100
Apr 28 09:31:21,ram_l,4,32768,16384,0,42,0.08,80878,uniform,random,Mem100
Apr 28 09:31:35,ram_l,4,32768,16384,33,72,0.55,49549,uniform,random,Mem100
Apr 28 09:31:48,ram_l,4,32768,16384,50,86,0.79,42489,uniform,random,Mem100
Apr 28 09:32:02,ram_l,4,32768,16384,66,101,1.12,36863,uniform,random,Mem100
Apr 28 09:32:14,ram_l,4,32768,16384,100,47,0.39,72166,uniform,random,Mem100
Apr 28 09:32:27,ram_l,8,32768,16384,0,51,0.12,133999,uniform,random,Mem100
Apr 28 09:32:41,ram_l,8,32768,16384,33,75,0.50,96128,uniform,random,Mem100
Apr 28 09:32:54,ram_l,8,32768,16384,50,96,0.86,76782,uniform,random,Mem100
Apr 28 09:33:08,ram_l,8,32768,16384,66,102,1.02,73036,uniform,random,Mem100
Apr 28 09:33:20,ram_l,8,32768,16384,100,48,0.43,142057,uniform,random,Mem100
Apr 28 09:33:34,ram_l,16,32768,16384,0,82,0.26,173564,uniform,random,Mem100
Apr 28 09:33:47,ram_l,16,32768,16384,33,95,0.49,152502,uniform,random,Mem100
Apr 28 09:34:01,ram_l,16,32768,16384,50,108,0.81,135099,uniform,random,Mem100
Apr 28 09:34:16,ram_l,16,32768,16384,66,119,1.04,123871,uniform,random,Mem100
Apr 28 09:34:28,ram_l,16,32768,16384,100,60,0.33,228944,uniform,random,Mem100
Apr 28 09:34:43,ram_l,32,32768,16384,0,159,0.74,186134,uniform,random,Mem100
Apr 28 09:34:57,ram_l,32,32768,16384,33,146,1.03,201088,uniform,random,Mem100
Apr 28 09:35:12,ram_l,32,32768,16384,50,141,0.95,208039,uniform,random,Mem100
Apr 28 09:35:27,ram_l,32,32768,16384,66,144,1.20,203610,uniform,random,Mem100
Apr 28 09:35:39,ram_l,32,32768,16384,100,69,2.36,386974,uniform,random,Mem100
Apr 28 09:36:05,ram_l,1,65536,32768,0,39,0.00,21474,uniform,random,Mem100
Apr 28 09:36:26,ram_l,1,65536,32768,33,71,0.00,12696,uniform,random,Mem100
Apr 28 09:36:47,ram_l,1,65536,32768,50,87,0.00,10620,uniform,random,Mem100
Apr 28 09:37:09,ram_l,1,65536,32768,66,97,0.00,9565,uniform,random,Mem100
Apr 28 09:37:22,ram_l,1,65536,32768,100,47,0.00,18426,uniform,random,Mem100
Apr 28 09:37:39,ram_l,2,65536,32768,0,42,0.00,39816,uniform,random,Mem100
Apr 28 09:37:57,ram_l,2,65536,32768,33,73,0.10,24745,uniform,random,Mem100
Apr 28 09:38:16,ram_l,2,65536,32768,50,89,0.10,20655,uniform,random,Mem100
Apr 28 09:38:35,ram_l,2,65536,32768,66,102,0.10,18230,uniform,random,Mem100
Apr 28 09:38:48,ram_l,2,65536,32768,100,48,0.10,35962,uniform,random,Mem100
Apr 28 09:39:03,ram_l,4,65536,32768,0,44,0.17,77479,uniform,random,Mem100
Apr 28 09:39:20,ram_l,4,65536,32768,33,74,0.49,48954,uniform,random,Mem100
Apr 28 09:39:38,ram_l,4,65536,32768,50,88,0.90,41483,uniform,random,Mem100
Apr 28 09:39:55,ram_l,4,65536,32768,66,102,1.05,36277,uniform,random,Mem100
Apr 28 09:40:08,ram_l,4,65536,32768,100,49,0.39,70457,uniform,random,Mem100
Apr 28 09:40:24,ram_l,8,65536,32768,0,53,0.10,129846,uniform,random,Mem100
Apr 28 09:40:41,ram_l,8,65536,32768,33,81,0.52,89177,uniform,random,Mem100
Apr 28 09:40:58,ram_l,8,65536,32768,50,97,1.02,75775,uniform,random,Mem100
Apr 28 09:41:16,ram_l,8,65536,32768,66,107,1.11,69147,uniform,random,Mem100
Apr 28 09:41:29,ram_l,8,65536,32768,100,54,0.25,126026,uniform,random,Mem100
Apr 28 09:41:46,ram_l,16,65536,32768,0,83,0.26,171625,uniform,random,Mem100
Apr 28 09:42:04,ram_l,16,65536,32768,33,99,0.57,146681,uniform,random,Mem100
Apr 28 09:42:22,ram_l,16,65536,32768,50,111,0.83,131887,uniform,random,Mem100
Apr 28 09:42:40,ram_l,16,65536,32768,66,121,1.07,121849,uniform,random,Mem100
Apr 28 09:42:54,ram_l,16,65536,32768,100,61,0.39,223268,uniform,random,Mem100
Apr 28 09:43:13,ram_l,32,65536,32768,0,160,0.61,185004,uniform,random,Mem100
Apr 28 09:43:33,ram_l,32,65536,32768,33,147,0.91,199509,uniform,random,Mem100
Apr 28 09:43:52,ram_l,32,65536,32768,50,142,1.13,205706,uniform,random,Mem100
Apr 28 09:44:11,ram_l,32,65536,32768,66,146,1.16,201506,uniform,random,Mem100
Apr 28 09:44:25,ram_l,32,65536,32768,100,67,5.63,382433,uniform,random,Mem100
Apr 28 09:45:07,ram_l,1,98304,49152,0,134,0.00,7035,uniform,random,Mem100
Apr 28 09:45:59,ram_l,1,98304,49152,33,164,0.00,5835,uniform,random,Mem100
Apr 28 09:46:52,ram_l,1,98304,49152,50,185,0.00,5202,uniform,random,Mem100
Apr 28 09:47:45,ram_l,1,98304,49152,66,205,0.00,4703,uniform,random,Mem100
Apr 28 09:47:59,ram_l,1,98304,49152,100,48,0.00,18145,uniform,random,Mem100
Apr 28 09:48:42,ram_l,2,98304,49152,0,161,0.00,11859,uniform,random,Mem100
Apr 28 09:49:28,ram_l,2,98304,49152,33,192,0.05,10021,uniform,random,Mem100
Apr 28 09:50:15,ram_l,2,98304,49152,50,213,0.05,9066,uniform,random,Mem100
Apr 28 09:51:03,ram_l,2,98304,49152,66,234,0.10,8248,uniform,random,Mem100
Apr 28 09:51:17,ram_l,2,98304,49152,100,50,0.20,35008,uniform,random,Mem100
Apr 28 09:52:17,ram_l,4,98304,49152,0,267,0.11,14559,uniform,random,Mem100
Apr 28 09:53:22,ram_l,4,98304,49152,33,251,0.29,15458,uniform,random,Mem100
Apr 28 09:54:24,ram_l,4,98304,49152,50,253,0.37,15344,uniform,random,Mem100
Apr 28 09:55:26,ram_l,4,98304,49152,66,274,1.16,14193,uniform,random,Mem100
Apr 28 09:55:40,ram_l,4,98304,49152,100,50,0.25,68251,uniform,random,Mem100
Apr 28 09:57:38,ram_l,8,98304,49152,0,576,0.55,13678,uniform,random,Mem100
Apr 28 09:59:39,ram_l,8,98304,49152,33,495,0.83,15889,uniform,random,Mem100
Apr 28 10:01:36,ram_l,8,98304,49152,50,454,1.12,17293,uniform,random,Mem100
Apr 28 10:03:27,ram_l,8,98304,49152,66,420,1.54,18641,uniform,random,Mem100
Apr 28 10:03:42,ram_l,8,98304,49152,100,50,0.49,134153,uniform,random,Mem100
Apr 28 10:06:33,ram_l,16,98304,49152,0,1367,3.73,11621,uniform,random,Mem100
Apr 28 10:09:25,ram_l,16,98304,49152,33,1088,2.21,14569,uniform,random,Mem100
Apr 28 10:12:04,ram_l,16,98304,49152,50,902,1.44,17552,uniform,random,Mem100
Apr 28 10:14:35,ram_l,16,98304,49152,66,767,1.65,20594,uniform,random,Mem100
Apr 28 10:14:50,ram_l,16,98304,49152,100,62,0.39,220007,uniform,random,Mem100
Apr 28 10:19:11,ram_l,32,98304,49152,0,2989,16.41,10668,uniform,random,Mem100
Apr 28 10:23:16,ram_l,32,98304,49152,33,2425,3.48,13137,uniform,random,Mem100
Apr 28 10:27:02,ram_l,32,98304,49152,50,2034,4.33,15636,uniform,random,Mem100
Apr 28 10:30:28,ram_l,32,98304,49152,66,1597,2.81,19876,uniform,random,Mem100
Apr 28 10:30:44,ram_l,32,98304,49152,100,67,5.90,379201,uniform,random,Mem100
Apr 28 13:14:58,ram_l,6,256,128,0,37,0.05,134062,uniform,random,Mem100
Apr 28 13:15:09,ram_l,6,256,128,50,75,0.51,72523,uniform,random,Mem100
Apr 28 13:15:20,ram_l,6,256,128,100,42,0.30,121400,uniform,random,Mem100
Apr 28 13:15:31,ram_l,10,256,128,0,45,0.14,183906,uniform,random,Mem100
Apr 28 13:15:42,ram_l,10,256,128,50,82,0.57,109998,uniform,random,Mem100
Apr 28 13:15:52,ram_l,10,256,128,100,47,0.39,177518,uniform,random,Mem100
Apr 28 13:16:03,ram_l,12,256,128,0,50,0.06,199387,uniform,random,Mem100
Apr 28 13:16:14,ram_l,12,256,128,50,87,0.54,123988,uniform,random,Mem100
Apr 28 13:16:25,ram_l,12,256,128,100,49,0.29,202744,uniform,random,Mem100
Apr 28 13:16:36,ram_l,14,256,128,0,55,0.15,214623,uniform,random,Mem100
Apr 28 13:16:47,ram_l,14,256,128,50,88,0.56,142624,uniform,random,Mem100
Apr 28 13:16:57,ram_l,14,256,128,100,51,0.25,227966,uniform,random,Mem100
Apr 28 13:17:08,ram_l,18,256,128,0,70,15.53,230713,uniform,random,Mem100
Apr 28 13:17:19,ram_l,18,256,128,50,92,4.77,174870,uniform,random,Mem100
Apr 28 13:17:30,ram_l,18,256,128,100,54,5.18,280180,uniform,random,Mem100
Apr 28 13:17:41,ram_l,20,256,128,0,78,18.35,233238,uniform,random,Mem100
Apr 28 13:17:52,ram_l,20,256,128,50,95,5.89,187768,uniform,random,Mem100
Apr 28 13:18:03,ram_l,20,256,128,100,56,5.40,300667,uniform,random,Mem100
Apr 28 13:18:13,ram_l,22,256,128,0,86,19.35,235627,uniform,random,Mem100
Apr 28 13:18:24,ram_l,22,256,128,50,99,6.09,199955,uniform,random,Mem100
Apr 28 13:18:35,ram_l,22,256,128,100,57,5.53,320755,uniform,random,Mem100
Apr 28 13:18:46,ram_l,24,256,128,0,93,18.92,238018,uniform,random,Mem100
Apr 28 13:18:57,ram_l,24,256,128,50,102,6.08,211581,uniform,random,Mem100
Apr 28 13:19:08,ram_l,24,256,128,100,59,5.40,340787,uniform,random,Mem100
Apr 28 13:19:19,ram_l,26,256,128,0,100,17.23,240255,uniform,random,Mem100
Apr 28 13:19:29,ram_l,26,256,128,50,105,5.24,222774,uniform,random,Mem100
Apr 28 13:19:40,ram_l,26,256,128,100,60,4.74,360865,uniform,random,Mem100
Apr 28 13:19:51,ram_l,28,256,128,0,106,14.62,242535,uniform,random,Mem100
Apr 28 13:20:02,ram_l,28,256,128,50,108,4.68,233440,uniform,random,Mem100
Apr 28 13:20:13,ram_l,28,256,128,100,61,3.98,380928,uniform,random,Mem100
Apr 28 13:20:24,ram_l,32,256,128,0,117,0.68,246911,uniform,random,Mem100
Apr 28 13:20:35,ram_l,32,256,128,50,113,0.87,253471,uniform,random,Mem100
Apr 28 13:20:45,ram_l,32,256,128,100,62,0.83,421270,uniform,random,Mem100
Apr 28 13:20:56,ram_l,34,256,128,0,125,9.00,246916,uniform,random,Mem100
Apr 28 13:21:07,ram_l,34,256,128,50,122,11.41,253418,uniform,random,Mem100
Apr 28 13:21:18,ram_l,34,256,128,100,68,6.97,421557,uniform,random,Mem100
Apr 28 13:21:30,ram_l,6,2048,1024,0,44,0.11,114507,uniform,random,Mem100
Apr 28 13:21:41,ram_l,6,2048,1024,50,85,0.70,64002,uniform,random,Mem100
Apr 28 13:21:51,ram_l,6,2048,1024,100,42,0.32,119296,uniform,random,Mem100
Apr 28 13:22:02,ram_l,10,2048,1024,0,57,0.14,150286,uniform,random,Mem100
Apr 28 13:22:13,ram_l,10,2048,1024,50,95,0.74,95977,uniform,random,Mem100
Apr 28 13:22:24,ram_l,10,2048,1024,100,47,0.34,174847,uniform,random,Mem100
Apr 28 13:22:35,ram_l,12,2048,1024,0,66,0.10,157891,uniform,random,Mem100
Apr 28 13:22:46,ram_l,12,2048,1024,50,100,0.73,109443,uniform,random,Mem100
Apr 28 13:22:57,ram_l,12,2048,1024,100,51,1.02,197711,uniform,random,Mem100
Apr 28 13:23:08,ram_l,14,2048,1024,0,73,0.17,166889,uniform,random,Mem100
Apr 28 13:23:19,ram_l,14,2048,1024,50,103,0.70,123391,uniform,random,Mem100
Apr 28 13:23:30,ram_l,14,2048,1024,100,52,1.16,223688,uniform,random,Mem100
Apr 28 13:23:41,ram_l,18,2048,1024,0,94,22.79,178600,uniform,random,Mem100
Apr 28 13:23:52,ram_l,18,2048,1024,50,110,4.88,148963,uniform,random,Mem100
Apr 28 13:24:03,ram_l,18,2048,1024,100,55,4.93,275819,uniform,random,Mem100
Apr 28 13:24:14,ram_l,20,2048,1024,0,108,27.36,177872,uniform,random,Mem100
Apr 28 13:24:25,ram_l,20,2048,1024,50,115,6.36,159189,uniform,random,Mem100
Apr 28 13:24:36,ram_l,20,2048,1024,100,57,5.21,296315,uniform,random,Mem100
Apr 28 13:24:47,ram_l,22,2048,1024,0,118,28.59,180618,uniform,random,Mem100
Apr 28 13:24:58,ram_l,22,2048,1024,50,117,6.66,171354,uniform,random,Mem100
Apr 28 13:25:09,ram_l,22,2048,1024,100,59,5.54,316775,uniform,random,Mem100
Apr 28 13:25:20,ram_l,24,2048,1024,0,126,27.26,183274,uniform,random,Mem100
Apr 28 13:25:31,ram_l,24,2048,1024,50,120,6.56,181843,uniform,random,Mem100
Apr 28 13:25:42,ram_l,24,2048,1024,100,60,5.07,337100,uniform,random,Mem100
Apr 28 13:25:53,ram_l,26,2048,1024,0,134,24.83,184753,uniform,random,Mem100
Apr 28 13:26:04,ram_l,26,2048,1024,50,125,6.06,189499,uniform,random,Mem100
Apr 28 13:26:15,ram_l,26,2048,1024,100,61,4.63,357448,uniform,random,Mem100
Apr 28 13:26:26,ram_l,28,2048,1024,0,142,21.12,186209,uniform,random,Mem100
Apr 28 13:26:37,ram_l,28,2048,1024,50,129,5.25,197769,uniform,random,Mem100
Apr 28 13:26:48,ram_l,28,2048,1024,100,62,3.74,377847,uniform,random,Mem100
Apr 28 13:26:59,ram_l,32,2048,1024,0,154,0.92,191184,uniform,random,Mem100
Apr 28 13:27:11,ram_l,32,2048,1024,50,137,0.87,212742,uniform,random,Mem100
Apr 28 13:27:21,ram_l,32,2048,1024,100,63,0.83,418337,uniform,random,Mem100
Apr 28 13:27:33,ram_l,34,2048,1024,0,165,8.86,191199,uniform,random,Mem100
Apr 28 13:27:44,ram_l,34,2048,1024,50,146,9.90,214139,uniform,random,Mem100
Apr 28 13:27:55,ram_l,34,2048,1024,100,66,11.77,418232,uniform,random,Mem100
Apr 28 13:28:11,ram_l,6,16384,8192,0,72,0.10,74614,uniform,random,Mem100
Apr 28 13:28:24,ram_l,6,16384,8192,50,109,0.67,51120,uniform,random,Mem100
Apr 28 13:28:36,ram_l,6,16384,8192,100,46,0.33,110922,uniform,random,Mem100
Apr 28 13:28:49,ram_l,10,16384,8192,0,105,0.19,87176,uniform,random,Mem100
Apr 28 13:29:02,ram_l,10,16384,8192,50,122,0.73,76218,uniform,random,Mem100
Apr 28 13:29:13,ram_l,10,16384,8192,100,52,0.30,162174,uniform,random,Mem100
Apr 28 13:29:26,ram_l,12,16384,8192,0,126,0.34,88396,uniform,random,Mem100
Apr 28 13:29:39,ram_l,12,16384,8192,50,125,0.80,88860,uniform,random,Mem100
Apr 28 13:29:51,ram_l,12,16384,8192,100,53,0.31,193991,uniform,random,Mem100
Apr 28 13:30:04,ram_l,14,16384,8192,0,148,0.43,88744,uniform,random,Mem100
Apr 28 13:30:17,ram_l,14,16384,8192,50,133,0.74,97712,uniform,random,Mem100
Apr 28 13:30:28,ram_l,14,16384,8192,100,57,0.39,207217,uniform,random,Mem100
Apr 28 13:30:42,ram_l,18,16384,8192,0,196,39.05,89593,uniform,random,Mem100
Apr 28 13:30:55,ram_l,18,16384,8192,50,145,8.46,116178,uniform,random,Mem100
Apr 28 13:31:07,ram_l,18,16384,8192,100,60,4.69,256663,uniform,random,Mem100
Apr 28 13:31:21,ram_l,20,16384,8192,0,220,47.29,89938,uniform,random,Mem100
Apr 28 13:31:34,ram_l,20,16384,8192,50,159,11.04,118268,uniform,random,Mem100
Apr 28 13:31:46,ram_l,20,16384,8192,100,62,5.55,276194,uniform,random,Mem100
Apr 28 13:32:00,ram_l,22,16384,8192,0,243,49.24,89855,uniform,random,Mem100
Apr 28 13:32:13,ram_l,22,16384,8192,50,173,12.52,119484,uniform,random,Mem100
Apr 28 13:32:25,ram_l,22,16384,8192,100,63,5.45,295923,uniform,random,Mem100
Apr 28 13:32:39,ram_l,24,16384,8192,0,263,49.18,90416,uniform,random,Mem100
Apr 28 13:32:53,ram_l,24,16384,8192,50,188,13.92,120682,uniform,random,Mem100
Apr 28 13:33:04,ram_l,24,16384,8192,100,65,5.31,315497,uniform,random,Mem100
Apr 28 13:33:18,ram_l,26,16384,8192,0,286,44.61,89736,uniform,random,Mem100
Apr 28 13:33:32,ram_l,26,16384,8192,50,200,14.53,123027,uniform,random,Mem100
Apr 28 13:33:44,ram_l,26,16384,8192,100,65,4.50,334992,uniform,random,Mem100
Apr 28 13:33:58,ram_l,28,16384,8192,0,300,28.09,90528,uniform,random,Mem100
Apr 28 13:34:12,ram_l,28,16384,8192,50,219,13.30,121257,uniform,random,Mem100
Apr 28 13:34:24,ram_l,28,16384,8192,100,67,3.97,354588,uniform,random,Mem100
Apr 28 13:34:39,ram_l,32,16384,8192,0,342,0.89,90282,uniform,random,Mem100
Apr 28 13:34:53,ram_l,32,16384,8192,50,248,0.92,122780,uniform,random,Mem100
Apr 28 13:35:04,ram_l,32,16384,8192,100,68,0.86,393868,uniform,random,Mem100
Apr 28 13:35:20,ram_l,34,16384,8192,0,366,22.88,89900,uniform,random,Mem100
Apr 28 13:35:34,ram_l,34,16384,8192,50,269,18.80,120907,uniform,random,Mem100
Apr 28 13:35:46,ram_l,34,16384,8192,100,73,13.09,393434,uniform,random,Mem100
Apr 28 13:36:07,ram_l,6,32768,16384,0,124,0.12,45575,uniform,random,Mem100
Apr 28 13:36:26,ram_l,6,32768,16384,50,139,0.68,40780,uniform,random,Mem100
Apr 28 13:36:37,ram_l,6,32768,16384,100,48,0.33,107081,uniform,random,Mem100
Apr 28 13:36:56,ram_l,10,32768,16384,0,207,0.52,46148,uniform,random,Mem100
Apr 28 13:37:16,ram_l,10,32768,16384,50,164,0.76,57813,uniform,random,Mem100
Apr 28 13:37:28,ram_l,10,32768,16384,100,54,0.36,156313,uniform,random,Mem100
Apr 28 13:37:48,ram_l,12,32768,16384,0,250,0.65,46217,uniform,random,Mem100
Apr 28 13:38:07,ram_l,12,32768,16384,50,192,0.89,59656,uniform,random,Mem100
Apr 28 13:38:19,ram_l,12,32768,16384,100,54,0.39,187207,uniform,random,Mem100
Apr 28 13:38:40,ram_l,14,32768,16384,0,293,0.66,46169,uniform,random,Mem100
